MNEMONIQUE;LIBELLE;ADRESSE_NDS;ADRESSE_SNMP;LIBELLE_1
EM;Escalier Mécanique;48;;AAI plaque palière supérieure
EM;Escalier Mécanique;47;;AAI trappe
PEP;Poste d'Epuisement;28;;Défaut thermique groupe 3
PEP;Poste d'Epuisement;27;;Défaut variateur groupe 2
PEP;Poste d'Epuisement;26;;Défaut thermique groupe 2
PEP;Poste d'Epuisement;25;;Défaut variateur groupe 1
PEP;Poste d'Epuisement;24;;Défaut thermique groupe 1
PEP;Poste d'Epuisement;23;;Défaut détection de niveaux
PEP;Poste d'Epuisement;22;;Absence tension T2 (400V)
PEP;Poste d'Epuisement;21;;Absence tension T1 (400V)
PEP;Poste d'Epuisement;11;;Temps de pompage trop long groupe 4
PEP;Poste d'Epuisement;10;;Temps de pompage trop long groupe 3
PEP;Poste d'Epuisement;9;;Temps de pompage trop long groupe 2
PEP;Poste d'Epuisement;8;;Temps de pompage trop long groupe 1
PEP;Poste d'Epuisement;7;;Alerte
PEP;Poste d'Epuisement;6;;Baisse débit groupe 4
PEP;Poste d'Epuisement;5;;Baisse débit groupe 3
PEP;Poste d'Epuisement;4;;Baisse débit groupe 2
Trottoir_Roulant;Trottoir Roulant;1000;;Erreur de communication
Trottoir_Roulant;Trottoir Roulant;66;;Panne d'épuisement
Trottoir_Roulant;Trottoir Roulant;65;;AAI entrée main courante inférieure bloquée
Trottoir_Roulant;Trottoir Roulant;64;;AAI entrée main courante supérieure bloquée
Trottoir_Roulant;Trottoir Roulant;63;;AAI Défaut armoire automatisme
Trottoir_Roulant;Trottoir Roulant;62;;AAI Défaut automate
Trottoir_Roulant;Trottoir Roulant;61;;AAI non levée frein de fonctionnement
Trottoir_Roulant;Trottoir Roulant;60;;AAI non levée frein secours
ADA;Armoire Distribution Automatique;10;;Défaut départ permanent luminaires BAES vers local FQ
ADA;Armoire Distribution Automatique;11;;Défaut départ remplacement Luminaires/PC/Clim vers local FQ
ADA;Armoire Distribution Automatique;12;;Défaut départ permanent luminaires BAES vers local Signaux
ADA;Armoire Distribution Automatique;13;;Défaut départ remplacement Luminaires/PC/Clim vers local Signaux
ADA;Armoire Distribution Automatique;14;;Défaut départ permanent luminaires BAES vers local M2E/BT
ADA;Armoire Distribution Automatique;15;;Défaut départ remplacement Luminaires/PC/Clim vers local M2E/BT
ADA;Armoire Distribution Automatique;17;;I3 Aval inverseur ouvert et hors maintenance
ADA;Armoire Distribution Automatique;18;;Défaut automatisme inverseur
ADA;Armoire Distribution Automatique;19;;Durée de maintenance trop longue
ADA;Armoire Distribution Automatique;20;;Défaut Départ alimentation équipement SAET
ADA;Armoire Distribution Automatique;21;;Défaut Départ alimentation équipement FQ
ADA;Armoire Distribution Automatique;22;;Défaut Départ alimentation équipement Signaux
ADA;Armoire Distribution Automatique;1000;1000;Erreur de communication
ADA;Armoire Distribution Automatique;1001;;Identifiant station incorrect
ADA;Armoire Distribution Automatique;1002;;Identifiant équipement incorrect
ADA;Armoire Distribution Automatique;1003;;Identifiant version incorrect
ADA;Armoire Distribution Automatique;1004;;Identifiant checksum incorrect
ADA;Armoire Distribution Automatique;1005;;Synchronisation horloge impossible
ADA;Armoire Distribution Automatique;1006;;Bit de signe de vie manquant
ADA;Armoire Distribution Automatique;1014;;Inhibition
PTOSC;Poste mainteneur TOSCANE;8000;.1.3.6.1.2.1.4.18.0;Etat fonctionnel
PC_I;PC industriel;99999;.1.3.6.1.2.1.4.18.0;Etat Fonctionnel
TPV;Terminal Point de Vente;99;1.3.6.1.2.1.4.18.0;Etat Fonctionnel
ADUP_snmp;Appareil Distributeur à l'Usage du Public snmp;99999;.1.3.6.1.2.1.4.18.0;Etat Fonctionnel
EM;Escalier Mécanique;66;;Défaut automate
SDP;Serveur de ports;99999;.1.3.6.1.2.1.4.18.0;Etat fonctionnel
Ventilateur;Ventilateur;19;;Echauffement des paliers moteur
Ventilateur;Ventilateur;20;;Défaut automate
E_ECS;Eqpt concentrateur Vente et Contrôle d'accès(ECS);1000;1000;Erreur de communication
E_ECS;Eqpt concentrateur Vente et Contrôle d'accès(ECS);1014;;Inhibition
E_ECS;Eqpt concentrateur Vente et Contrôle d'accès(ECS);1;;Passage simulé
E_AE5G;Equipement API AE5G;1000;1000;Erreur de communication
E_AE5G;Equipement API AE5G;1006;;Bit de signe de vie manquant
E_AE5G;Equipement API AE5G;1014;;Inhibition
E_AE5G;Equipement API AE5G;1;;Hors Tension du TAC
E_AE5G;Equipement API AE5G;2;;Hors tension Exterieur
E_AE5G;Equipement API AE5G;37;;Présence clé
E_CES;Concentrateur En Station;1000;1000;Erreur de communication
E_CES;Concentrateur En Station;900;;Erreur Abonnement
E_PEM;Passages Elargis Motorisés;1000;1000;Erreur de communication
E_PEM;Passages Elargis Motorisés;900;;Erreur Abonnement
E_PEM;Passages Elargis Motorisés;3;;Equipement HS
E_PEM;Passages Elargis Motorisés;4;;Portillon bloqué
E_PEM;Passages Elargis Motorisés;5;;Portillon non verrouillé en position zéro
E_PEM;Passages Elargis Motorisés;6;;Valideur magnétique d'entrée HS
E_PEM;Passages Elargis Motorisés;7;;Valideur magnétique de sortie HS
E_PEM;Passages Elargis Motorisés;8;;Coupleur télébillettique d'entrée HS
E_PEM;Passages Elargis Motorisés;9;;Coupleur télébillettique de sortie  HS
E_PEM;Passages Elargis Motorisés;12;;Bourrage du valideur magnétique d'entrée
E_PEM;Passages Elargis Motorisés;13;;Bourrage du valideur magnétique de sortie
E_PEM;Passages Elargis Motorisés;14;;Interphone d'entrée  HS
E_PEM;Passages Elargis Motorisés;15;;Interphone de sortie  HS
OCA;Postes ocarina;99999;.1.3.6.1.2.1.4.18.0;Etat fonctionnel
OCA;Postes ocarina;1000;1000;Erreur de communication
Trottoir_Roulant_R;Trottoir Roulant à Relais;1002;;Identifiant équipement incorrect
Trottoir_Roulant_R;Trottoir Roulant à Relais;1001;;Identifiant station incorrect
