MNEMONIQUE;Libelle type eq.;Code TOSCANE;Code TED
EM;Escalier Mécanique;49;48
EM;Escalier Mécanique;48;47
PEP;Poste d'Epuisement;211;28
PEP;Poste d'Epuisement;210;27
PEP;Poste d'Epuisement;209;26
PEP;Poste d'Epuisement;208;25
PEP;Poste d'Epuisement;207;24
PEP;Poste d'Epuisement;206;23
PEP;Poste d'Epuisement;205;22
PEP;Poste d'Epuisement;204;21
PEP;Poste d'Epuisement;194;11
PEP;Poste d'Epuisement;193;10
PEP;Poste d'Epuisement;192;9
PEP;Poste d'Epuisement;191;8
PEP;Poste d'Epuisement;190;7
PEP;Poste d'Epuisement;189;6
PEP;Poste d'Epuisement;188;5
PEP;Poste d'Epuisement;187;4
Trottoir_Roulant;Trottoir Roulant;143;1000
Trottoir_Roulant;Trottoir Roulant;142;66
Trottoir_Roulant;Trottoir Roulant;141;65
Trottoir_Roulant;Trottoir Roulant;140;64
Trottoir_Roulant;Trottoir Roulant;139;63
Trottoir_Roulant;Trottoir Roulant;138;62
Trottoir_Roulant;Trottoir Roulant;137;61
Trottoir_Roulant;Trottoir Roulant;136;60
ADA;Armoire Distribution Automatique;2039;10
ADA;Armoire Distribution Automatique;2040;11
ADA;Armoire Distribution Automatique;2041;12
ADA;Armoire Distribution Automatique;2042;13
ADA;Armoire Distribution Automatique;2043;14
ADA;Armoire Distribution Automatique;2044;15
ADA;Armoire Distribution Automatique;2045;17
ADA;Armoire Distribution Automatique;2046;18
ADA;Armoire Distribution Automatique;2047;19
ADA;Armoire Distribution Automatique;2048;20
ADA;Armoire Distribution Automatique;2049;21
ADA;Armoire Distribution Automatique;2050;22
ADA;Armoire Distribution Automatique;2053;1000
ADA;Armoire Distribution Automatique;2054;1001
ADA;Armoire Distribution Automatique;2055;1002
ADA;Armoire Distribution Automatique;2056;1003
ADA;Armoire Distribution Automatique;2057;1004
ADA;Armoire Distribution Automatique;2058;1005
ADA;Armoire Distribution Automatique;2059;1006
ADA;Armoire Distribution Automatique;2060;1014
PTOSC;Poste mainteneur TOSCANE;2061;8000
PC_I;PC industriel;2062;99999
TPV;Terminal Point de Vente;2063;99
ADUP_snmp;Appareil Distributeur à l'Usage du Public snmp;2064;99999
EM;Escalier Mécanique;2066;66
SDP;Serveur de ports;2067;99999
Ventilateur;Ventilateur;2068;19
Ventilateur;Ventilateur;2069;20
E_ECS;Eqpt concentrateur Vente et Contrôle d'accès(ECS);2088;1000
E_ECS;Eqpt concentrateur Vente et Contrôle d'accès(ECS);2089;1014
E_ECS;Eqpt concentrateur Vente et Contrôle d'accès(ECS);2090;1
E_AE5G;Equipement API AE5G;2091;1000
E_AE5G;Equipement API AE5G;2092;1006
E_AE5G;Equipement API AE5G;2093;1014
E_AE5G;Equipement API AE5G;2094;1
E_AE5G;Equipement API AE5G;2095;2
E_AE5G;Equipement API AE5G;2096;37
E_CES;Concentrateur En Station;2097;1000
E_CES;Concentrateur En Station;2098;900
E_PEM;Passages Elargis Motorisés;2099;1000
E_PEM;Passages Elargis Motorisés;2100;900
E_PEM;Passages Elargis Motorisés;2101;3
E_PEM;Passages Elargis Motorisés;2102;4
E_PEM;Passages Elargis Motorisés;2103;5
E_PEM;Passages Elargis Motorisés;2104;6
E_PEM;Passages Elargis Motorisés;2105;7
E_PEM;Passages Elargis Motorisés;2106;8
E_PEM;Passages Elargis Motorisés;2107;9
E_PEM;Passages Elargis Motorisés;2108;12
E_PEM;Passages Elargis Motorisés;2109;13
E_PEM;Passages Elargis Motorisés;2110;14
E_PEM;Passages Elargis Motorisés;2111;15
OCA;Postes ocarina;2114;99999
OCA;Postes ocarina;2115;1000
Trottoir_Roulant_R;Trottoir Roulant à Relais;612;1002
Trottoir_Roulant_R;Trottoir Roulant à Relais;611;1001
Trottoir_Roulant_R;Trottoir Roulant à Relais;610;1000
Trottoir_Roulant_R;Trottoir Roulant à Relais;609;18
Trottoir_Roulant_R;Trottoir Roulant à Relais;608;17
Trottoir_Roulant_R;Trottoir Roulant à Relais;607;16
Trottoir_Roulant_R;Trottoir Roulant à Relais;606;15
Trottoir_Roulant_R;Trottoir Roulant à Relais;605;14
Trottoir_Roulant_R;Trottoir Roulant à Relais;604;13
Trottoir_Roulant_R;Trottoir Roulant à Relais;603;12
Trottoir_Roulant_R;Trottoir Roulant à Relais;602;11
Trottoir_Roulant_R;Trottoir Roulant à Relais;601;10
PC_I;PC industriel;811;1
TPV;Terminal Point de Vente;809;1000
TPV;Terminal Point de Vente;808;999999
SDP;Serveur de ports;807;1000
SDP;Serveur de ports;806;999999
CACC;Contrôle d'Accès métro Symphonie;763;1000
CACC;Contrôle d'Accès métro Symphonie;762;999999
ADUP_snmp;Appareil Distributeur à l'Usage du Public snmp;751;1000
ADUP_snmp;Appareil Distributeur à l'Usage du Public snmp;750;999999
API_STA;API station métro;1000;10
API_STA;API station métro;999;9
API_STA;API station métro;998;8
API_STA;API station métro;997;7
API_STA;API station métro;996;6
API_STA;API station métro;995;5
API_STA;API station métro;994;4
API_STA;API station métro;993;3
API_STA;API station métro;992;2
API_STA;API station métro;991;1
API_STA;API station métro;990;1014
API_STA;API station métro;989;1011
API_STA;API station métro;988;1006
API_STA;API station métro;987;1004
API_STA;API station métro;986;1003
API_STA;API station métro;985;1000
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;984;1014
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;983;1001
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;982;1000
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;981;3
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;980;2
Imprimante_snmp;IMPRIMANTE bureau station CDSMG et Symphonie;979;1
SORTIE;Sortie sono;969;13
SORTIE;Sortie sono;968;12
SORTIE;Sortie sono;967;11
SORTIE;Sortie sono;966;10
SORTIE;Sortie sono;965;9
SORTIE;Sortie sono;964;8
SORTIE;Sortie sono;963;7
SORTIE;Sortie sono;962;6
SORTIE;Sortie sono;961;5
SORTIE;Sortie sono;960;4
SORTIE;Sortie sono;959;3
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;956;6
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;955;5
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;954;4
CP_CA;Capteurs centrale alarme métro fils de ECENTRALE;953;3
ECENTRALE;Centrale alarme métro;952;4
ECENTRALE;Centrale alarme métro;951;3
ECENTRALE;Centrale alarme métro;950;2
ECENTRALE;Centrale alarme métro;949;1014
ECENTRALE;Centrale alarme métro;948;1006
ECENTRALE;Centrale alarme métro;947;1004
